id;quantity;unit_price;amount;created_by;created_on;modified_by;modified_on
1;32333;49907;48432;HDD;2020-07-14T15:22:45;back-end Ports;2020-07-14T19:06:33
2;98372;33267;23316;channels Jersey;2020-07-14T17:22:28;facilitate Rest withdrawal;2020-07-14T11:39:06
3;47213;72009;53318;paradigms Health SQL;2020-07-15T09:15:39;Rial Omani matrices;2020-07-14T20:47:44
4;87242;68116;69015;ubiquitous Incredible Plastic Gloves;2020-07-15T00:27:56;Technician;2020-07-15T08:47:48
5;76738;77661;40743;customer loyalty Specialist;2020-07-14T10:46:48;deposit Ports Licensed;2020-07-14T10:53:29
6;82582;58758;72679;knowledge user Bedfordshire;2020-07-14T21:32:25;HTTP sky blue;2020-07-14T13:56:36
7;82254;81789;26957;Turnpike Dynamic Sleek Cotton Fish;2020-07-15T09:52:17;Customer Communications;2020-07-14T10:07:15
8;26684;88196;6784;e-commerce;2020-07-14T10:19:07;National Investor Seychelles Rupee;2020-07-14T16:55:05
9;71262;4897;59409;Bulgarian Lev;2020-07-14T13:52:52;Developer;2020-07-14T13:32:38
10;7539;21019;42545;copying XML programming;2020-07-14T17:46:36;Concrete Garden withdrawal;2020-07-15T08:12:56
